,단어,뜻
202,collection,"소장품, 수집물; 징수, 수금"
203,exhibition,전시회
204,celebrity,"유명인사, 명사"
205,live,"(라디오, TV가)생방송인"
206,improvise,"(연주, 연설 등을)즉흥적으로 하다, 즉석에서 만들다."
207,popular,인기있는
208,donation,"기증, 기부"
209,alumni,"동창생들, 졸업생들"
210,present,"제시하다, 현재의, 참석한"
211,admission,입장
212,banquet,"연회, 만찬"
213,anniversary,기념일
214,required,"필수의, 의무적인"
215,succeed,"성공하다, 뒤를 잇다"
216,rest,"쉬다,휴식, 나머지"
217,fund-raising,모금
218,resume,"재개하다, 다시 시작하다"
219,issue,"(출판물의)제 ~호; 문제, 쟁점"
220,subscription,(정기발행물의) 구독
221,appear,"나타나다, 출현하다"
222,accompany,"동행하다, 동반하다"
223,edition,(간행물의)판
224,specifically,"명확하게, 분명히; 특히, 특별히"
225,anonymous,"익명의, 이름을 모르는"
226,commit,"헌신하다, 전념하다"
227,information,"유익한, 정보를 주는"
228,audience,"청중, 관중"
229,author,"작가, 저자"
230,note,주목하다; 특별히 언급하다.
231,antique,골동품
232,manuscript,원고
233,beneficial,"유익한, 이로운"
234,upcoming,"곧 있을, 다가오는"
235,lend,빌려주다
236,current,"현재의,; 현행의, 통용되는"
237,local,"지방의, 고장의"
238,variety,"다양성, 변화"
239,advocate,옹호자
240,contributor,"기고가, 공헌자"
241,defy,"저항하다; (설명,묘사등이)거의 불가능하다"
242,fascinating,"매혹적인, 황홀한"
243,showing,"(영화, 연극의)상영; 전시"
